Facility Name,Longitude,Latitude,Organization Unit Rural_Urban_Semi,Organization Unit Type,Physical Address,Oral Pills (contraception),Injectables,IUDs (contraception),Implants (contraception),Female Sterilization (contraception),Male Sterilization (contraception),Male Medical Circumcision (MMC),TB,Maternal Health,Mental Health,Child Health,Oral health services,Rehabilitation Services,Minor Ailments,Sexually Transmitted Infections Screenings,HIV Testing,HIV Treatment (ART),Oral PrEP,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester
Multikem Pharmacy,28.264315,-26.257577,,ICPA,Kingfisher Ave,,,,,,,,,,,,,,,,,,,,
Rondebult Pharmacy,28.245737,-26.24449,,ICPA,231 Rondebult Road,,,,,,,,,,,,,,,,,,,,
Sunward Park Pharmacy,28.253183,-26.259369,,ICPA,Duiker Road and Kingfisher Ave,,,,,,,,,,,,,,,,,,,,
Westwood Pharmacy,28.280852,-26.185229,,ICPA,"shop 8, Cnr Atlas & Phillip Roads",,,,,,,,,,,,,,,,,,,,
Dalmed  Pharmacy,28.35516,-26.24599,,ICPA,"House 6, 12 Cardigan Street",,,,,,,,,,,,,,,,,,,,
Tsakane Pharmacy,28.372643,-26.352939,,ICPA,"Shop 52, Malandela & Modjajie Road",,,,,,,,,,,,,,,,,,,,
Baker Street Pharmacy,28.180593,-26.13622,,ICPA,Cnr Baker & Harris Street,,,,,,,,,,,,,,,,,,,,
Harmelia Pharmacy,28.18867,-26.14037,,ICPA,"Shop 8, 48 Shelton Avenue",,,,,,,,,,,,,,,,,,,,
Park Medicine Depot Pharmacy,28.155347,-26.145977,,ICPA,38 Van Riebeeck Avenue,,,,,,,,,,,,,,,,,,,,
Rams Pharmacy - Jabulani,27.841159,-26.248633,,ICPA,"Shop 46, Bolani Street",,,,,,,,,,,,,,,,,,,,
Baps Southdale Pharmacy,28.02319,-26.2418,,ICPA,"Shop 10-11, Alamein Road",,,,,,,,,,,,,,,,,,,,
Benns Pharmacy,28.358225,-26.240002,,ICPA,755 Voortrekker Street,,,,,,,,,,,,,,,,,,,,
Fochville Pharmacy,27.494972,-26.48884,,ICPA,42 Vrede Straat,,,,,,,,,,,,,,,,,,,,
Greenways Lambton Pharmacy,28.180263,-26.246717,,ICPA,"Shop1, 138 Webber Road",,,,,,,,,,,,,,,,,,,,
Hanrimed Pharmacy,28.37234,-26.23362,,ICPA,371 Voortrekker Street,,,,,,,,,,,,,,,,,,,,
Healthcare  Pharmacy,28.372492,-26.126134,,ICPA,Cavendish St,,,,,,,,,,,,,,,,,,,,
Heidmed Pharmacy,28.357778,-26.502196,,ICPA,62 Ueckermann Street,,,,,,,,,,,,,,,,,,,,
Kemgate Pharmacy,28.220407,-26.081658,,ICPA,100 Soutpansberg,,,,,,,,,,,,,,,,,,,,
Kgoaredi Pharmacy Centrewalk,28.194104,-25.74604,,ICPA,276 Helen Joseph street,,,,,,,,,,,,,,,,,,,,
Kgoaredi Pharmacy Protea Glen,27.814152,-26.277409,,ICPA,"Shop 35, Cnr Protea Blvd & R558",,,,,,,,,,,,,,,,,,,,
Killarney Riviera Pharmacy,28.054861,-26.166125,,ICPA,"Shop 27, 60 Rivier Road",,,,,,,,,,,,,,,,,,,,
Kingstan Spectrum Pharmacy,28.47093,-26.41878,,ICPA,56 Hendrik Verwoerd Drive,,,,,,,,,,,,,,,,,,,,
Leraala Pharmacy,28.197834,-26.025961,,ICPA,"Shop 22, Esangweni Section",,,,,,,,,,,,,,,,,,,,
Medi Centre Pharmacy,28.232028,-26.107629,,ICPA,14 Central Avenue,,,,,,,,,,,,,,,,,,,,
Pharmacy @ Spar Midrand Pharmacy,28.128848,-25.99493,,ICPA,Cnr Alexandra Ave & Old Pretoria Road,,,,,,,,,,,,,,,,,,,,
Pharmhealth Pharmacy,28.144577,-25.95568,,ICPA,"Shop 3, Olifantsfontein Road, Extention 22",,,,,,,,,,,,,,,,,,,,
Dube Pharmacy,27.901247,-26.237407,,ICPA,Mahlahlafele Drive,,,,,,,,,,,,,,,,,,,,
Randfontein Village Pharmacy,27.704876,-26.178199,,ICPA,57 Main Road,,,,,,,,,,,,,,,,,,,,
Sebokeng Family Pharmacy,27.846913,-26.5947,,ICPA,"Shop 10 , Moshoeshoe Street",,,,,,,,,,,,,,,,,,,,
Sebokeng Pharmacy,27.844694,-26.599447,,ICPA,Moshoeshoe St,,,,,,,,,,,,,,,,,,,,
Springbok Pharmacy,28.122077,-26.271057,,ICPA,Cnr Voortrekker & Helston Road,,,,,,,,,,,,,,,,,,,,
Thabong Good Health  - Sebokeng Pharmacy,27.8458,-26.602,,ICPA,"Shop B24, Moshoeshoe Road",,,,,,,,,,,,,,,,,,,,
Thabong Good Health  - Vosloorus Pharmacy,28.181651,-26.345474,,ICPA,"Shop 66, Cnr Bierman & Brickfield Road",,,,,,,,,,,,,,,,,,,,
Thabong Good Health - Sebokeng Jo2 Pharmacy,27.848603,-26.596669,,ICPA,"Shop B24, Moshoeshoe Road, Zone 10, ext 1",,,,,,,,,,,,,,,,,,,,
Tlangelani - Tembisa Pharmacy,28.196863,-26.02626,,ICPA,Shop 9 ,,,,,,,,,,,,,,,,,,,,
Tlangelani Mayibuye Pharmacy,28.176094,-26.034098,,ICPA,Mayibuye Centre,,,,,,,,,,,,,,,,,,,,
Wendywood Pharmacy,28.085462,-26.082562,,ICPA,Shop 15,,,,,,,,,,,,,,,,,,,,
Windsor Pharmacy,27.976481,-26.12086,,ICPA,Cnr Beatrice & Dutchess Street,,,,,,,,,,,,,,,,,,,,
Ackermans Pharmacy,28.157337,-26.189853,,ICPA,101 Rietfontein Road,,,,,,,,,,,,,,,,,,,,
Albemarle Pharmacy,28.153974,-26.264263,,ICPA,39 Hatfield Avenue,,,,,,,,,,,,,,,,,,,,
Bonnie Pharmacy,28.256621,-26.125424,,ICPA,Louis Botha Rd,,,,,,,,,,,,,,,,,,,,
Anro Pharmacy,28.24095,-25.67963,,ICPA,Cnr Zambezi & Dr Swanepoel Road,,,,,,,,,,,,,,,,,,,,
Civimed Pharmacy,28.30517,-25.704187,,ICPA,"Shop 3, 389 Soutrivier Ave",,,,,,,,,,,,,,,,,,,,
Crest Pharmacy,28.240539,-25.75288,,ICPA,526 Duncan Street,,,,,,,,,,,,,,,,,,,,
Crown Avenue Pharmacy,28.234527,-25.769909,,ICPA,Cherry Lane Shopping Centre,,,,,,,,,,,,,,,,,,,,
Cullinan Health and Home Pharmacy,28.234527,-25.769909,,ICPA,2B Park Street,,,,,,,,,,,,,,,,,,,,
Cullinan Pharmacy,28.520981,-25.672304,,ICPA,"Shop 22, 112 Oak Avenue",,,,,,,,,,,,,,,,,,,,
Danmed Pharmacy,28.520981,-25.672304,,ICPA, Danmed Complex,,,,,,,,,,,,,,,,,,,,
Dely Road Pharmacy,28.269511,-25.794186,,ICPA,Cnr Lois Ave & Dely Rd,,,,,,,,,,,,,,,,,,,,
Derdepoort Pharmacy,28.269511,-25.794186,,ICPA,40 Baviaanspoort Road,,,,,,,,,,,,,,,,,,,,
Erasmia  Pharmacy,28.092042,-25.811904,,ICPA,381 Willem Erasmus Street,,,,,,,,,,,,,,,,,,,,
Faerie Glen Medical Centre Pharmacy,28.092042,-25.811904,,ICPA,Atterbury Road,,,,,,,,,,,,,,,,,,,,
Amberfield Pharmacy,28.138023,-25.872965,,ICPA,"Shp 39, mall@Reds, Rooihuiskraal Rd",,,,,,,,,,,,,,,,,,,,
Ferrum Pharmacy,28.138023,-25.872965,,ICPA,494B Church Street West,,,,,,,,,,,,,,,,,,,,
Glenstantia Pharmacy,28.277955,-25.811308,,ICPA,546 Douglas Scholtz Street,,,,,,,,,,,,,,,,,,,,
Kalapeng Pharmacy,28.277955,-25.811308,,ICPA,Cnr Francis Baard and Lilian Ngoyi Street,,,,,,,,,,,,,,,,,,,,
Kalapeng - Denneboom Pharmacy,28.336841,-25.718913,,ICPA,"B7, Metropolitan Gateway",,,,,,,,,,,,,,,,,,,,
Kalapeng - Station Pharmacy,28.336841,-25.718913,,ICPA,509 Paul Kruger Court & Jacob Mare,,,,,,,,,,,,,,,,,,,,
Kalapeng Mahube Valley Pharmacy,28.421293,-25.700113,,ICPA,"Shop11D, Tsamaya Road, Mahube Valley",,,,,,,,,,,,,,,,,,,,
Kalapeng Mamelodi Crossing Pharmacy,28.334407,-25.714005,,ICPA,"ShopS7, Mamelodi Crossing ",,,,,,,,,,,,,,,,,,,,
Karenpark Pharmacy,28.108443,-25.671004,,ICPA,"Shop 9 Karenpark Crossing, Cnr Angelier & Heinrich Avenue, Karenpark Ext 5, Doreg AH, Akasia, 0182",,,,,,,,,,,,,,,,,,,,
Kem de Beer's  Pharmacy,28.174442,-25.676148,,ICPA,252 Ben Viljoen Street,,,,,,,,,,,,,,,,,,,,
Khutsong Pharmacy,28.374666,-25.714461,,ICPA,Cnr Henderland and Tsamaya Rd,,,,,,,,,,,,,,,,,,,,
Kirkness Park Pharmacy,28.23898,-25.83913,,ICPA,91 Hertzog Avenue,,,,,,,,,,,,,,,,,,,,
Kismet Pharmacy,28.0999,-25.79258,,ICPA,272 - 18th Avenue,,,,,,,,,,,,,,,,,,,,
Kramer's Pharmacy,28.15174,-25.719283,,ICPA,581 Van der Hoff Road,,,,,,,,,,,,,,,,,,,,
Loeriepark Pharmacy,28.32057,-25.73201,,ICPA,894 Loerie Street,,,,,,,,,,,,,,,,,,,,
Makhanana Pharmacy,28.36847,-25.71794,,ICPA,Phumulamcashi Buffer Zone,,,,,,,,,,,,,,,,,,,,
Maymed Pharmacy,28.311645,-25.739167,,ICPA,13 Pienaar Street ,,,,,,,,,,,,,,,,,,,,
Medicare - Highveld Pharmacy,28.195089,-25.880188,,ICPA,Logan Street,,,,,,,,,,,,,,,,,,,,
Medicare Brooklyn Pharmacy,28.235931,-25.769801,,ICPA,158 Olivier St,,,,,,,,,,,,,,,,,,,,
Medicare Mopani Pharmacy,28.233406,-25.801318,,ICPA,73 Skilpad Road,,,,,,,,,,,,,,,,,,,,
Med-value Pharmacy,28.257818,-25.682655,,ICPA,"Zambezi Avenue, Shop 2",,,,,,,,,,,,,,,,,,,,
Menlopark Pharmacy,28.257653,-25.770525,,ICPA,67 - 13th Street,,,,,,,,,,,,,,,,,,,,
Metro Pharmacy,28.155024,-25.754887,,ICPA,451 Michells Street,,,,,,,,,,,,,,,,,,,,
Meyerstreet Pharmacy,28.209804,-25.701694,,ICPA,662 Meyer Street,,,,,,,,,,,,,,,,,,,,
Mid-Chem Pharmacy,28.129905,-25.996682,,ICPA,Health Emporium,,,,,,,,,,,,,,,,,,,,
Mimosa Pharmacy,28.185153,-25.710003,,ICPA,201 Booysen Street,,,,,,,,,,,,,,,,,,,,
Minnaars Pharmacy,28.170545,-25.674695,,ICPA,537 Gerrit Maritz Street,,,,,,,,,,,,,,,,,,,,
Mooikloof Pharmacy,28.326861,-25.841141,,ICPA,Garsfontein Road Shop 15,,,,,,,,,,,,,,,,,,,,
Murrayfield Pharmacy,28.306716,-25.755957,,ICPA,Cnr Rubida & Rossouw Street,,,,,,,,,,,,,,,,,,,,
Osmans Pharmacy,28.151364,-25.819037,,ICPA,40 Hugo Road,,,,,,,,,,,,,,,,,,,,
Pharmacentre Waverley Pharmacy,28.241241,-25.70368,,ICPA,"Shop 55, 116 Hertzog Street",,,,,,,,,,,,,,,,,,,,
Phologo Pharmacy,28.206175,-25.74818,,ICPA,386 Schoeman Street,,,,,,,,,,,,,,,,,,,,
Protea Family Pharmacy,27.835796,-26.27571,,ICPA,Shop 15 & 16 Protea Point Shopping Centre,,,,,,,,,,,,,,,,,,,,
Rietfontein Pharmacy,28.209612,-25.70208,,ICPA,653 Meyer Street,,,,,,,,,,,,,,,,,,,,
Riviera Pharmacy,28.210094,-25.732658,,ICPA,52 Annie Botha Avenue,,,,,,,,,,,,,,,,,,,,
Rooihuiskraal Pharmacy,28.137322,-25.893825,,ICPA,208 Panorama Rd,,,,,,,,,,,,,,,,,,,,
Soshanguve Pharmacy,28.091468,-25.494835,,ICPA,Shop 8,,,,,,,,,,,,,,,,,,,,
Station Square Pharmacy,28.185742,-25.748107,,ICPA,"Shop 16, Cnr Bosman Str & Jacob Mare Str",,,,,,,,,,,,,,,,,,,,
Swaanstraat Pharmacy,28.288153,-25.709721,,ICPA,57 Jan Coetzee Street,,,,,,,,,,,,,,,,,,,,
Tamarisk Pharmacy,28.218183,-25.678994,,ICPA,Sinoville Centre,,,,,,,,,,,,,,,,,,,,
Thato Pharmacy,28.199956,-25.750966,,ICPA,"Shop 6, DTI Campus",,,,,,,,,,,,,,,,,,,,
The Medicine Shop Pharmacy,28.21535,-25.772508,,ICPA,Shop 11,,,,,,,,,,,,,,,,,,,,
Thorntree Pharmacy,28.100563,-25.525355,,ICPA,"Shop 29, Umphasha Road",,,,,,,,,,,,,,,,,,,,
Tileba Pharmacy,28.148168,-25.678372,,ICPA,Grafenheim Street,,,,,,,,,,,,,,,,,,,,
Totiusdal Pharmacy,28.242704,-25.702707,,ICPA,779 Codonia Avenue,,,,,,,,,,,,,,,,,,,,
Trichardt Straat Pharmacy,28.161471,-25.700737,,ICPA,450 Karel Trichardtlaan ,,,,,,,,,,,,,,,,,,,,
Tshepong Pharmacy,28.41526,-25.71397,,ICPA,18881 Tsamaya Road,,,,,,,,,,,,,,,,,,,,
Van Heerden - Hamilton Pharmacy,28.205162,-25.744944,,ICPA,Cnr Church & Hamilton Street,,,,,,,,,,,,,,,,,,,,
Van Heerden - Herfsblaar Pharmacy,28.253625,-25.727426,,ICPA,1244 Webb Street,,,,,,,,,,,,,,,,,,,,
Van Heerden - Lynnridge Mall Pharmacy,28.298296,-25.765379,,ICPA,Cnr Jacobson & Lynnwood Road,,,,,,,,,,,,,,,,,,,,
Van Heerden - Old Farm Pharmacy,28.328113,-25.790374,,ICPA,Cnr Hans Strijdom & Olympus,,,,,,,,,,,,,,,,,,,,
Van Heerden - Parkview Pharmacy,28.303509,-25.818484,,ICPA,Parkview Lifestyle Centre,,,,,,,,,,,,,,,,,,,,
Vistapharm Pharmacy,0,0,,ICPA,135 Gerhard Street,,,,,,,,,,,,,,,,,,,,
Western Pharmacy,28.150566,-25.755631,,ICPA,546 Mitchell Street,,,,,,,,,,,,,,,,,,,,
Wierdachem Pharmacy,28.144052,-25.856709,,ICPA,Willem Botha Road,,,,,,,,,,,,,,,,,,,,
Woolfsons Pharmacy,28.234237,-25.750365,,ICPA,Cnr Zambezi & Dr Swanepoel Road,,,,,,,,,,,,,,,,,,,,
Zambezi Pharmacy,28.305004,-25.704234,,ICPA,"Shop 3, 389 Soutrivier Ave",,,,,,,,,,,,,,,,,,,,
Nikiwe Pharmacy,0,0,,ICPA,527 Duncan Street,,,,,,,,,,,,,,,,,,,,
Corrys Pharmacy,28.234527,-25.769909,,ICPA,Cherry Lane Shopping Centre,,,,,,,,,,,,,,,,,,,,
Khanya Pharmacy,27.870259,-26.222734,,ICPA,2B Park Street,,,,,,,,,,,,,,,,,,,,
Riverside Pharmacy,0,0,,ICPA,"Shop 22, 112 Oak Avenue",,,,,,,,,,,,,,,,,,,,
Coachmans Pharmacy,28.016977,-26.080629,,ICPA, Danmed Complex,,,,,,,,,,,,,,,,,,,,
Compounding Pharmacy,28.269511,-25.794186,,ICPA,Cnr Lois Ave & Dely Rd,,,,,,,,,,,,,,,,,,,,
Gallo Manor Pharmacy,28.074027,-26.068084,,ICPA,41 Baviaanspoort Road,,,,,,,,,,,,,,,,,,,,
Graystone Pharmacy,0,0,,ICPA,382 Willem Erasmus Street,,,,,,,,,,,,,,,,,,,,
Husted's Bryanpark Pharmacy,28.004511,-26.052852,,ICPA,Atterbury Road,,,,,,,,,,,,,,,,,,,,
Morningside Dispensary Pharmacy,28.063894,-26.075181,,ICPA,"Shp 39, mall@Reds, Rooihuiskraal Rd",,,,,,,,,,,,,,,,,,,,
Morningside Pharmacy,28.062518,-26.0782,,ICPA,494B Church Street West,,,,,,,,,,,,,,,,,,,,
Woodmead Pharmacy,28.080078,-26.047415,,ICPA,547 Douglas Scholtz Street,,,,,,,,,,,,,,,,,,,,
Pharmwave Pharmacy,28.193202,-25.749047,,ICPA,Cnr Francis Baard and Lilian Ngoyi Street,,,,,,,,,,,,,,,,,,,,
Eastpark Pharmacy,28.414791,-26.20404,,ICPA,"B7, Metropolitan Gateway",,,,,,,,,,,,,,,,,,,,
Geduld Pharmacy,28.188656,-25.755659,,ICPA,510 Paul Kruger Court & Jacob Mare,,,,,,,,,,,,,,,,,,,,
Hillcrest Pharmacy,28.44709,-26.30376,,ICPA,"Shop11D, Tsamaya Road, Mahube Valley",,,,,,,,,,,,,,,,,,,,
Medika Pharmacy,28.430892,-26.233576,,ICPA,"ShopS7, Mamelodi Crossing ",,,,,,,,,,,,,,,,,,,,
Petersfield Pharmacy,28.108443,-25.671004,,ICPA,"Shop 9 Karenpark Crossing, Cnr Angelier & Heinrich Avenue, Karenpark Ext 5, Doreg AH, Akasia, 0183",,,,,,,,,,,,,,,,,,,,
Strubenvale Pharmacy,28.469452,-26.257766,,ICPA,253 Ben Viljoen Street,,,,,,,,,,,,,,,,,,,,
Koedoe Pharmacy,27.83572,-26.698925,,ICPA,Cnr Henderland and Tsamaya Rd,,,,,,,,,,,,,,,,,,,,
Frik Pretorius Pharmacy,27.815949,-26.703141,,ICPA,92 Hertzog Avenue,,,,,,,,,,,,,,,,,,,,
Hennies Pharmacy,0,0,,ICPA,273 - 18th Avenue,,,,,,,,,,,,,,,,,,,,
Medimark Pharmacy,28.15174,-25.719283,,ICPA,582 Van der Hoff Road,,,,,,,,,,,,,,,,,,,,
Medistop Pharmacy,27.83658,-26.7126,,ICPA,895 Loerie Street,,,,,,,,,,,,,,,,,,,,
Riverview Pharmacy,28.373952,-25.721456,,ICPA,Phumulamcashi Buffer Zone,,,,,,,,,,,,,,,,,,,,
Sussmans Medicine Chest Pharmacy,27.835413,-26.699751,,ICPA,14 Pienaar Street ,,,,,,,,,,,,,,,,,,,,
Top Level Pharmacy,27.855269,-26.723829,,ICPA,Logan Street,,,,,,,,,,,,,,,,,,,,
Eland  Pharmacy,27.971231,-26.652884,,ICPA,159 Olivier St,,,,,,,,,,,,,,,,,,,,
Sonlandpark Pharmacy,27.844935,-26.721607,,ICPA,74 Skilpad Road,,,,,,,,,,,,,,,,,,,,
Taxido Pharmacy,27.93374,-26.676271,,ICPA,"Zambezi Avenue, Shop 3",,,,,,,,,,,,,,,,,,,,
Elwierda Pharmacy,28.143793,-25.858532,,ICPA,68 - 13th Street,,,,,,,,,,,,,,,,,,,,
Rynepark Pharmacy,28.243313,-25.841466,,ICPA,452 Michells Street,,,,,,,,,,,,,,,,,,,,
Eastern Suburbs Medicine Supplies Pharmacy,28.161128,-26.188904,,ICPA,,,,,,,,,,,,,,,,,,,,,
Lily Pharmacy,28.186732,-26.174486,,ICPA,,,,,,,,,,,,,,,,,,,,,
Oak Avenue Pharmacy,28.205851,-26.188459,,ICPA,101 Oak Avenue,,,,,,,,,,,,,,,,,,,,
Phumula Pharmacy,28.197455,-26.314393,,ICPA,"Shop 7, Cnr Luthando & Ludlelo Street",,,,,,,,,,,,,,,,,,,,
Stanhope Pharmacy,28.123756,-26.19914,,ICPA,41 Geldenhuis Road,,,,,,,,,,,,,,,,,,,,
Thabong Good Health - Jubilee Pharmacy,28.270486,-25.404341,,ICPA,Cnr Jubilee & Harry Gwala Road,,,,,,,,,,,,,,,,,,,,
De Hollandsche Pharmacy,28.359129,-26.500322,,ICPA,Voortrekker Road,,,,,,,,,,,,,,,,,,,,
Nite-Doc Pharmacy,28.358661,-26.502093,,ICPA,54 Mertz Street,,,,,,,,,,,,,,,,,,,,
Hekpoort Village Pharmacy,27.612205,-25.890136,,ICPA, R563 Road,,,,,,,,,,,,,,,,,,,,
Tothill's Pharmacy,28.04585,-26.20307,,ICPA,94 Pritchard Street,,,,,,,,,,,,,,,,,,,,
Waverley Pharmacy,28.073221,-26.129733,,ICPA,410 Scott & Knox Street,,,,,,,,,,,,,,,,,,,,
Alberton Pharmacy,28.128058,-26.259151,,ICPA,50 Van Riebeeck Avenue,,,,,,,,,,,,,,,,,,,,
Ansfrere Pharmacy,27.894368,-26.156016,,ICPA,36 Anstruther Street,,,,,,,,,,,,,,,,,,,,
Bakone Pharmacy,27.863517,-26.204457,,ICPA,Amandla Rd,,,,,,,,,,,,,,,,,,,,
Bank City Pharmacy,28.039169,-26.203364,,ICPA,"Shop No.C2, FNB Bank City",,,,,,,,,,,,,,,,,,,,
Bertsham Pharmacy,28.014778,-26.24297,,ICPA,150 Harry Street,,,,,,,,,,,,,,,,,,,,
Booysens Pharmacy,28.13663,-25.710286,,ICPA,Cnr Bremer Street and Wilhelm St,,,,,,,,,,,,,,,,,,,,
Bracken City Pharmacy,28.097664,-26.315386,,ICPA,"Shop 5, Hennie Albert Rd",,,,,,,,,,,,,,,,,,,,
Bryanston Pharmacy,28.012685,-26.07377,,ICPA,277 Main Street,,,,,,,,,,,,,,,,,,,,
Carletonville Pharmacy,27.398423,-26.357797,,ICPA,20 Gold Street,,,,,,,,,,,,,,,,,,,,
Clinicross Alberton Pharmacy,28.121216,-26.273293,,ICPA,"69 Clinton Rd, New Redruth",,,,,,,,,,,,,,,,,,,,
Colony Pharmacy,28.02973,-26.122676,,ICPA,"Shop 1, 345 Jan Smuts Avenue",,,,,,,,,,,,,,,,,,,,
Crown-med Pharmacy,28.013203,-26.216379,,ICPA,1 Press Avenue,,,,,,,,,,,,,,,,,,,,
Dahya's Pharmacy,27.953174,-26.1876,,ICPA,21 Olywenhout St,,,,,,,,,,,,,,,,,,,,
Daxina Pharmacy,27.824021,-26.313462,,ICPA,Cnr Starling & Azalea,,,,,,,,,,,,,,,,,,,,
Dunvegan t/a Dowerglen Pharmacy,28.138185,-26.143869,,ICPA,"Shop 9, Dowerglen Plaza",,,,,,,,,,,,,,,,,,,,
El Corro Pharmacy,27.954426,-26.144523,,ICPA,130 Weltevreden Road,,,,,,,,,,,,,,,,,,,,
Galleon Pharmacy,28.033622,-26.124918,,ICPA,Shop 63,,,,,,,,,,,,,,,,,,,,
Glen Health Pharmacy,27.804704,-26.273525,,ICPA,Wild Chestnut St,,,,,,,,,,,,,,,,,,,,
Goldenmed Health and Home Pharmacy,27.65267,-26.321543,,ICPA,President Kruger Street,,,,,,,,,,,,,,,,,,,,
Greenside Pharmacy,28.012023,-26.147026,,ICPA,110 Greenway,,,,,,,,,,,,,,,,,,,,
Healthcare Helikon Pharmacy,0,0,,ICPA,Cormorant Street,,,,,,,,,,,,,,,,,,,,
Jacqueline  Pharmacy,28.116797,-26.28734,,ICPA,"Js Centre, 25 General Alberts Ave",,,,,,,,,,,,,,,,,,,,
Jeppe Subway Pharmacy,28.062098,-26.204649,,ICPA,292 Main Street,,,,,,,,,,,,,,,,,,,,
Jorissen Street Pharmacy,28.033868,-26.192573,,ICPA,23 Jorissen Street,,,,,,,,,,,,,,,,,,,,
Jozi Pharmacy,28.035945,-26.201749,,ICPA,Shop 9 West Street Parkade,,,,,,,,,,,,,,,,,,,,
Jukskeipark Pharmacy,27.983335,-26.033934,,ICPA,Cnr Robyn & Platina Street,,,,,,,,,,,,,,,,,,,,
Kalapeng Midrand Pharmacy,28.126538,-25.99828,,ICPA,"185, Midrand City",,,,,,,,,,,,,,,,,,,,
Kempton Place Pharmacy,28.230625,-26.106765,,ICPA,6 Kempton Place,,,,,,,,,,,,,,,,,,,,
Kenview Pharmacy,28.051325,-26.197587,,ICPA,102 Sophie de Bruyn St,,,,,,,,,,,,,,,,,,,,
Kibler park Pharmacy,28.009151,-26.323969,,ICPA,Stanmore Cresecent,,,,,,,,,,,,,,,,,,,,
Lancaster Health and Home Pharmacy,28.026145,-26.130114,,ICPA,99 Lancaster AVe,,,,,,,,,,,,,,,,,,,,
Laxmi Pharmacy,27.8394,-26.322688,,ICPA,"Shop 10, 171 Rose Avenue, Ext 3",,,,,,,,,,,,,,,,,,,,
Lenasia Pharmacy,27.827614,-26.320985,,ICPA,57 Gemsbok Avenue,,,,,,,,,,,,,,,,,,,,
Linksfield Pharmacy,28.09611,-26.15989,,ICPA,"Shop 7, 110 Linksfield Road",,,,,,,,,,,,,,,,,,,,
Lunar Pharmacy,28.126217,-26.260529,,ICPA,58 4th Ave,,,,,,,,,,,,,,,,,,,,
Manor Pharmacy,28.07362,-26.066579,,ICPA,"Shop 43, Cnr Kelvin & Bowling Avenue",,,,,,,,,,,,,,,,,,,,
Mays Chemist Pharmacy,28.000826,-26.176688,,ICPA,11 Main Road,,,,,,,,,,,,,,,,,,,,
Meadowland Family Pharmacy,27.899893,-26.220055,,ICPA,Shop No. 89,,,,,,,,,,,,,,,,,,,,
Medicare (Percelia) Pharmacy,28.095633,-26.148916,,ICPA,3 Birt Street,,,,,,,,,,,,,,,,,,,,
Medicare (Savoy) Pharmacy,28.085842,-26.130432,,ICPA,580 Louis Botha Avenue,,,,,,,,,,,,,,,,,,,,
Medicare 14th Avenue Pharmacy,27.944113,-26.150648,,ICPA,Shop 11 Fairlands Centre,,,,,,,,,,,,,,,,,,,,
Medicare Dainfern Pharmacy,28.011532,-25.993964,,ICPA,"Shop 6, Broadacres Drive",,,,,,,,,,,,,,,,,,,,
Medicare Fontainebleau Pharmacy,27.976153,-26.105836,,ICPA,"3, Fountains Centre",,,,,,,,,,,,,,,,,,,,
Medicare Parkmore Pharmacy,28.03658,-26.092278,,ICPA,"Parkmore Mews, 12th Street",,,,,,,,,,,,,,,,,,,,
Medicare Weltevreden Pharmacy,27.974121,-26.134183,,ICPA,251 Beyers Naude Drive,,,,,,,,,,,,,,,,,,,,
Medici Pharmacy,28.045954,-26.09945,,ICPA,"127, 10th Street",,,,,,,,,,,,,,,,,,,,
Megawatt Pharmacy,28.080305,-26.03306,,ICPA,Shop 2,,,,,,,,,,,,,,,,,,,,
Melrose Park Pharmacy,28.062109,-26.130731,,ICPA,6 Fort Street ,,,,,,,,,,,,,,,,,,,,
Melville Pharmacy,28.008612,-26.177583,,ICPA,2d Seventh Street,,,,,,,,,,,,,,,,,,,,
Mistamed Pharmacy,28.103948,-26.129207,,ICPA,21 Lyndhurst Place,,,,,,,,,,,,,,,,,,,,
Mulmed Pharmacy,28.061461,-26.293633,,ICPA,70 Hythe Ave,,,,,,,,,,,,,,,,,,,,
New Redruth Village Pharmacy,28.114266,-26.261292,,ICPA,"Shop 33A, Cnr St Austell & Michael Street",,,,,,,,,,,,,,,,,,,,
Nikita's Pharmacy,27.847826,-26.389492,,ICPA,114 Starling Road,,,,,,,,,,,,,,,,,,,,
Norwood Pharmacy,28.076595,-26.157661,,ICPA,74 Grant Avenue,,,,,,,,,,,,,,,,,,,,
Oakdene Pharmacy,28.058693,-26.266448,,ICPA,65 Main Comaro Crossing Value Mart,,,,,,,,,,,,,,,,,,,,
Park Central Pharmacy,28.04815,-26.197982,,ICPA,"Shop 41, Cnr Twist & Noord Street",,,,,,,,,,,,,,,,,,,,
Park Pharmacy,27.904599,-26.159464,,ICPA,Cnr Honeyball & Golf Club Terrace,,,,,,,,,,,,,,,,,,,,
Pharmacentre Kyalami Pharmacy,28.075895,-25.991547,,ICPA,"Shop AG 1-2, Kyalami Blvd, Kyalami Shopping Centre",,,,,,,,,,,,,,,,,,,,
Pharmex Pharmacy,28.07077,-26.13353,,ICPA,13-15 Scott Street,,,,,,,,,,,,,,,,,,,,
Phelang Crossing Pharmacy,27.987889,-26.269286,,ICPA,Shop 10 Cnr Columbine & John Masefield Avenue,,,,,,,,,,,,,,,,,,,,
Prema's Pharmacy,28.045824,-26.198062,,ICPA,Noord Street,,,,,,,,,,,,,,,,,,,,
Protea Glen Family Pharmacy,27.804368,-26.273769,,ICPA,32 Antrim Rd,,,,,,,,,,,,,,,,,,,,
