Facility Name,Longitude,Latitude,Organization Unit Rural_Urban_Semi,Organization Unit Type,Oral Pills (contraception) ,Injectables,IUDs  (contraception) ,Implants (contraception)  ,Female Sterilization (contraception) ,Male Sterilization (contraception) ,Male Medical Circumcision (MMC),TB ,Maternal Health,Mental Health,  Oral health services ,Rehabilitation Services,Minor Ailments,Sexually Transmitted Infections Screenings,HIV Testing ,HIV Treatment (ART) ,Oral PrEP ,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester,AYFS Accredited,CCMDD Pick Up Point,Physical Address
Pietermaritzburg Medium B Correctional Centre,30.38441,-29.6325,Urban,Correctional Centre,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Scottsville Clinic,30.394373,-29.6247,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Sevontein Correctional Centre,30.38409,-29.5993,Urban,Correctional Centre,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Sinathing Clinic,30.295162,-29.675,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Sitezi Clinic,30.349083,-29.652,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Sobantu Clinic,30.424803,-29.5952,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Songonzima Clinic,30.125095,-29.698,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Taylors Halt Clinic,30.191402,-29.6819,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Townhill Hospital,30.366437,-29.5874,Urban,Specialised Psychiatric Hospital,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Willowfountain Clinic,30.326688,-29.7039,Urban,Clinic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Camperdown Gateway Clinic,30.539,-29.715,Rural,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Enkumane Clinic,30.391647,-30.0577,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Mbuthisweni Clinic,30.457809,-30.0597,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Ndaleni Clinic,30.246868,-29.8866,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Phatheni Clinic,30.290073,-29.8373,Peri-Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Richmond Chest Hospital,30.275817,-29.8645,Peri-Urban,Specialised TB Hospital,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Richmond Mobile 1,30.273443,-29.8687,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Balgowan Clinic,30.052843,-29.3963,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Howick Clinic,30.231673,-29.4869,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Lions River Mobile 1,30.234727,-29.5055,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Lions River Mobile 2,30.234727,-29.5055,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Lions River Mobile 3,30.234727,-29.5055,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Mpophomeni Clinic,30.17552,-29.5652,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Umgeni Waterfall Institute Hospital,30.232779,-29.5008,Urban,Specialised Psychiatric Hospital,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,,Not Registered,
Appelsbosch Gateway Clinic,30.842696,-29.3898,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Appelsbosch Mobile 1,30.842851,-29.39,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Appelsbosch Mobile 2,30.842851,-29.39,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Bambanani Clinic,30.847601,-29.2696,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Cramond Clinic,30.429371,-29.4157,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Efaye Clinic,30.724303,-29.4473,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Emtulwa Clinic,30.763197,-29.2335,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Gcumisa Clinic,30.693798,-29.5165,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Mambedwini Clinic,30.626056,-29.4882,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Mayizekane Clinic,30.625178,-29.5311,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
New Hanover Comm Correctional Centre,30.5284,-29.3565,Urban,Correctional Centre,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
New Hanover Correctional Centre,30.5284,-29.3565,Urban,Correctional Centre,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Ezimpondweni Clinic,32.459631,-27.7984,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Hlabisa Gateway Clinic,31.878932,-28.1435,Peri-Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,Registered,
Hlabisa Hospital,31.880697,-28.1455,Peri-Urban,District Hospital,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Manguzi Hospital,32.756375,-26.984,Rural,District Hospital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Hlabisa Mobile 1,31.881208,-28.1447,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,,Not Registered,
Hlabisa Mobile 2,31.881208,-28.1447,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Hluhluwe Clinic,32.27056,-28.0219,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Inhlwathi Clinic,31.974591,-28.017,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Macabuzela Clinic,32.159973,-28.0281,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Makhowe Clinic,32.14029,-27.9607,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mduku Clinic,32.388065,-27.8281,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mnqobokazi Clinic,32.455985,-27.7059,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mpembeni Clinic,31.94133,-28.1323,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mseleni Mobile 4,32.55658,-27.3263,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Bethesda Gateway Clinic,32.081128,-27.5744,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Bethesda Hospital,32.082098,-27.5741,Rural,District Hospital,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Bethesda Mobile 1,32.081161,-27.5743,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Bethesda Mobile 2,32.081161,-27.5743,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Bethesda Mobile 3,32.081161,-27.5743,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Ekuhlehleni Clinic,32.042652,-26.8541,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Gedleza Clinic,32.212832,-27.4828,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Gwaliweni Clinic,31.97787,-27.3071,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Ingwavuma Correctional Centre,31.99469,-27.1323,Rural,Correctional Centre,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Jozini Clinic,32.072643,-27.4257,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Dundee Hospital,30.22974,-28.1729,Urban,District Hospital,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
KwaMbuzi Clinic,32.190224,-27.1815,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,,Registered,
Makhathini Clinic,32.160264,-27.4438,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Manyiseni Clinic,32.035636,-26.914,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mbadleni Clinic,32.135216,-26.9626,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mhlekazi Clinic,32.146609,-27.7054,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Mkuze Clinic,32.03188,-27.6185,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mosvold Gateway Clinic,32.004746,-27.1383,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mosvold Hospital,32.004746,-27.1383,Rural,District Hospital,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Mosvold Mobile 1,32.006173,-27.1365,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Mosvold Mobile 2,32.006173,-27.1365,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Mosvold Mobile 3,32.006173,-27.1365,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Ndumo Clinic,32.251492,-26.925,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Nkungwini Clinic,32.008758,-27.0098,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Nondabuya Clinic,32.155993,-27.3459,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Ophansi Clinic,32.314153,-27.5891,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Ophondweni Clinic,32.099823,-27.3002,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Shemula Clinic,32.228617,-27.0819,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Esiyembeni Clinic,32.004851,-28.3293,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Ezwenelisha Clinic,32.31265,-28.4123,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Gunjaneni Clinic,32.088031,-28.2448,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
KwaMsane Clinic,32.14819,-28.4278,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Machibini Clinic,32.045222,-28.2812,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Madwaleni Clinic,32.222039,-28.2637,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Mondi Mobile 1 (Umkhanyakude),32.185337,-28.415438,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Mpukunyoni Clinic,32.174266,-28.3673,Peri-Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Mtubatuba Clinic,32.185255,-28.4112,Peri-Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mtubatuba Mobile 1,32.185252,-28.4112,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Mtubatuba Mobile 2,32.185252,-28.4112,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Nkundusi Clinic,32.319806,-28.146,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Pomeroy CHC,30.424724,-28.5509,Rural,Community Health Centre,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Ntondweni Clinic,32.168216,-28.1998,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,Registered,
Sipho Zungu Clinic,32.376632,-28.3683,Peri-Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Somkhele Clinic,32.101045,-28.3307,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Bhekabantu Clinic,32.336943,-26.9438,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
KwaNdaba Clinic,32.30583,-27.0217,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
KwaZibi Clinic,32.754788,-27.1457,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Charles Johnson Memorial Hospital,30.672921,-28.2119,Peri-Urban,District Hospital,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Mabibi Clinic,32.730917,-27.3283,Rural,Clinic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,Registered,
Madonela Clinic,32.262485,-27.3428,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Mahlungulu Clinic,32.81163,-26.8863,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Manaba Clinic,32.434316,-27.2872,Rural,Clinic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Manguzi Mobile 1,32.757318,-26.9848,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Manguzi Mobile 2,32.757318,-26.9848,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Manguzi Mobile 3,32.757318,-26.9848,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Maputa Clinic,32.755556,-26.9944,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mbazwana Clinic,32.585998,-27.4854,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Mboza Clinic,32.269858,-27.1803,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mseleni Gateway Clinic,32.556644,-27.3256,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mseleni Hospital,32.556644,-27.3256,Rural,District Hospital,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Mseleni Mobile 1,32.556585,-27.3263,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Mseleni Mobile 2,32.556585,-27.3263,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Mseleni Mobile 3,32.556585,-27.3263,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Mshudu Clinic,32.718289,-26.9322,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mvelabusha Clinic,32.713211,-27.1591,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Ntshongwe Clinic,32.371236,-27.4339,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Oqondweni Clinic,32.445859,-27.5718,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Phelandaba Clinic,32.556507,-27.0839,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Thengane Clinic,32.691273,-27.0197,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Zama Zama Clinic,32.280769,-27.1257,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Dundee Correctional Centre,30.22415,-28.1608,Urban,Correctional Centre,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Dundee Gateway Clinic,30.228182,-28.1756,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Dundee Mobile 1,30.229323,-28.1758,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Greytown Hospital,30.600049,-29.0657,Peri-Urban,District Hospital,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Dundee Mobile 2,30.229323,-28.1758,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Registered,
Empathe Clinic,30.234331,-28.1635,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Glencoe Correctional Centre,30.15859,-28.1855,Urban,Correctional Centre,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Registered,
Glenridge Clinic,30.145466,-28.1756,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,,Registered,
Sakhimpilo Clinic,30.236706,-28.1835,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Siphimpilo Clinic,30.15932,-28.1952,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Wasbank Clinic,30.08303,-28.3004,Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Church of Scotland Gateway Clinic,30.450091,-28.7466,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Church of Scotland Hospital,30.450917,-28.7476,Rural,District Hospital,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Church of Scotland Mobile 1,30.449952,-28.7467,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Church of Scotland Mobile 2,30.449952,-28.7467,Rural,Mobile Service,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Church of Scotland Mobile 3,30.449952,-28.7467,Rural,Mobile Service,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Collessie Clinic,30.522301,-28.6821,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Cwaka Clinic,30.46397,-28.6577,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Douglas Clinic,30.283172,-28.5294,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Gunjana Clinic,30.337662,-28.637,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
